"longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value","ocean_proximity","log_total_rooms","log_total_bedrooms","log_population","log_households","value_range","cluster"
-122.23,37.88,41,880,129,322,126,8.3252,452600,"NEAR BAY",6.77992190747225,4.85981240436167,5.77455154554441,4.83628190695148,"[4.1,4.6)","area_0"
-122.22,37.86,21,7099,1106,2401,1138,8.3014,358500,"NEAR BAY",8.86770920803939,7.00850518208228,7.78364059622125,7.03702761468628,"[3.6,4.1)","area_0"
-122.24,37.85,52,1467,190,496,177,7.2574,352100,"NEAR BAY",7.29097477814298,5.24702407216049,6.20657592672493,5.17614973257383,"[3.1,3.6)","area_0"
-122.25,37.85,52,1274,235,558,219,5.6431,341300,"NEAR BAY",7.14991683613211,5.45958551414416,6.32435896238131,5.3890717298165,"[3.1,3.6)","area_0"
-122.25,37.85,52,1627,280,565,259,3.8462,342200,"NEAR BAY",7.39449310721904,5.63478960316925,6.33682573114644,5.55682806169954,"[3.1,3.6)","area_0"
-122.25,37.85,52,919,213,413,193,4.0368,269700,"NEAR BAY",6.82328612235569,5.36129216570943,6.02344759296103,5.26269018890489,"[2.6,3.1)","area_0"
-122.25,37.84,52,2535,489,1094,514,3.6591,299200,"NEAR BAY",7.83794891602528,6.19236248947487,6.99759598298193,6.24222326545517,"[2.6,3.1)","area_0"
-122.25,37.84,52,3104,687,1157,647,3.12,241400,"NEAR BAY",8.04044688130311,6.53233429222235,7.05358572719368,6.4723462945009,"[2.1,2.6)","area_0"
-122.26,37.84,42,2555,665,1206,595,2.0804,226700,"NEAR BAY",7.8458075026378,6.49978704065585,7.09506437728713,6.38856140554563,"[2.1,2.6)","area_0"
-122.25,37.84,52,3549,707,1551,714,3.6912,261100,"NEAR BAY",8.1744211526465,6.56103066589657,7.34665516317654,6.57088296233958,"[2.6,3.1)","area_0"
-122.26,37.85,52,2202,434,910,402,3.2031,281500,"NEAR BAY",7.69712131728263,6.07304453410041,6.8134445995109,5.99645208861902,"[2.6,3.1)","area_0"
-122.26,37.85,52,3503,752,1504,734,3.2705,241800,"NEAR BAY",8.16137502319749,6.62273632394984,7.31588350450979,6.59850902861452,"[2.1,2.6)","area_0"
-122.26,37.85,52,2491,474,1098,468,3.075,213500,"NEAR BAY",7.82043951526218,6.16120732169508,7.00124562206948,6.14846829591765,"[2.1,2.6)","area_0"
-122.27,37.85,52,1966,347,793,331,2.775,152500,"NEAR BAY",7.58375630070711,5.84932477994686,6.67582322163485,5.80211837537706,"[1.1,1.6)","area_0"
-122.26,37.84,50,2239,455,990,419,1.9911,158700,"NEAR BAY",7.71378461659875,6.12029741895095,6.89770494312864,6.03787091992214,"[1.6,2.1)","area_0"
-122.27,37.84,52,1503,298,690,275,2.6033,162900,"NEAR BAY",7.31521838975297,5.6970934865054,6.5366915975913,5.61677109766657,"[1.6,2.1)","area_0"
-122.27,37.85,40,751,184,409,166,1.3578,147500,"NEAR BAY",6.62140565176413,5.21493575760899,6.0137151560428,5.11198778835654,"[1.1,1.6)","area_0"
-122.27,37.85,42,1639,367,929,366,1.7135,159800,"NEAR BAY",7.40184157874383,5.90536184805457,6.83410873881384,5.90263333340137,"[1.6,2.1)","area_0"
-122.27,37.84,52,2436,541,1015,478,1.725,113900,"NEAR BAY",7.79811262882979,6.29341927884648,6.92264389147589,6.16961073249146,"[1.1,1.6)","area_0"
-122.28,37.85,41,535,123,317,119,2.4038,107500,"NEAR BAY",6.28226674689601,4.81218435537242,5.75890177387728,4.77912349311153,"[1.1,1.6)","area_0"
-122.28,37.85,49,1130,244,607,239,2.4597,93800,"NEAR BAY",7.02997291170639,5.4971682252932,6.4085287910595,5.47646355193151,"[0.6,1.1)","area_0"
-122.28,37.85,52,1898,421,1102,397,1.808,105500,"NEAR BAY",7.54855597916987,6.04263283368238,7.00488198971286,5.98393628068719,"[1.1,1.6)","area_0"
-122.28,37.84,50,2082,492,1131,473,1.6424,108900,"NEAR BAY",7.64108424917491,6.19847871649231,7.03085747611612,6.15909538849193,"[1.1,1.6)","area_0"
-122.28,37.84,52,729,160,395,155,1.6875,132000,"NEAR BAY",6.59167373200866,5.07517381523383,5.97888576490112,5.04342511691925,"[1.1,1.6)","area_0"
-122.28,37.84,49,1916,447,863,378,1.9274,122300,"NEAR BAY",7.55799495853081,6.10255859461357,6.76041469108343,5.93489419561959,"[1.1,1.6)","area_0"
-122.28,37.84,52,2153,481,1168,441,1.9615,115200,"NEAR BAY",7.67461749736436,6.17586727010576,7.06304816338817,6.08904487544685,"[1.1,1.6)","area_0"
-122.27,37.83,49,1655,366,754,329,1.375,104900,"NEAR BAY",7.41155628781116,5.90263333340137,6.62539236800796,5.79605775076537,"[0.6,1.1)","area_0"
-122.27,37.83,51,2665,574,1258,536,2.7303,109700,"NEAR BAY",7.88795933659994,6.35262939631957,7.13727843726039,6.2841341610708,"[1.1,1.6)","area_0"
-122.27,37.83,48,1798,432,987,374,1.0972,104500,"NEAR BAY",7.49443021503157,6.06842558824411,6.89467003943348,5.92425579741453,"[0.6,1.1)","area_0"
